Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
564,48.91707611,564,108.2789917,564,34.17987061,564,65.50841522,564,65.92066193,564,33.68876648,
563,48.96740341,563,108.1877594,563,34.18390274,563,65.50366211,563,65.91306305,563,33.69180679,
562,49.01296616,562,108.103241,562,34.18477631,562,65.48435974,562,65.89925385,562,33.70781326,
561,49.05095291,561,108.0134964,561,34.19021988,561,65.49005127,561,65.89920044,561,33.71708679,
560,49.09515762,560,107.9208755,560,34.19250107,560,65.47155762,560,65.89008331,560,33.72699738,
559,49.14216614,559,107.8288574,559,34.21428299,559,65.46544647,559,65.88095093,559,33.72949982,
558,49.19332504,558,107.7234955,558,34.21444702,558,65.45328522,558,65.87811279,558,33.73632431,
557,49.23871613,557,107.6242828,557,34.20999527,557,65.44564056,557,65.87477112,557,33.74725723,
556,49.27209091,556,107.5409622,556,34.22272873,556,65.44802094,556,65.85908508,556,33.74819946,
555,49.29717255,555,107.4580307,555,34.24084854,555,65.43915558,555,65.8504715,555,33.75434875,
554,49.31257629,554,107.3727951,554,34.23688889,554,65.42937469,554,65.85066223,554,33.76340103,
553,49.32537079,553,107.2923203,553,34.23987198,553,65.42196655,553,65.85063934,553,33.77173615,
552,49.31646729,552,107.2220078,552,34.26696777,552,65.4152832,552,65.83919525,552,33.77922821,
551,49.31130981,551,107.1767654,551,34.26265335,551,65.40072632,551,65.82746124,551,33.7786293,
550,49.28394699,550,107.1180191,550,34.26403809,550,65.39242554,550,65.82228851,550,33.78982162,
549,49.24362946,549,107.0760498,549,34.27749252,549,65.39370728,549,65.81369781,549,33.80420685,
548,49.16898727,548,107.0709457,548,34.27917099,548,65.39151764,548,65.80332947,548,33.80811691,
547,48.99441147,547,107.1676636,547,34.29391479,547,65.38526154,547,65.79509735,547,33.81555557,
546,48.7537117,546,107.3096848,546,34.30800247,546,65.37403107,546,65.78903198,546,33.83149338,
545,48.46988678,545,107.5083466,545,34.30109787,545,65.36054993,545,65.77375793,545,33.83611298,
544,48.15108109,544,107.7164383,544,34.31015396,544,65.33924103,544,65.77828217,544,33.84466171,
543,47.7912941,543,107.9420242,543,34.3250351,543,65.34775543,543,65.76732635,543,33.842556,
542,47.46718597,542,108.1216354,542,34.33462143,542,65.33378601,542,65.77422333,542,33.85235977,
541,47.17245865,541,108.2763519,541,34.32252884,541,65.32537079,541,65.76564789,541,33.86958694,
540,46.89785004,540,108.4235229,540,34.34031677,540,65.33259583,540,65.74301147,540,33.87285995,
539,46.65777588,539,108.5256729,539,34.35914993,539,65.31765747,539,65.73606873,539,33.8853035,
538,46.449646,538,108.6063004,538,34.36367798,538,65.3196106,538,65.72449493,538,33.88858795,
537,46.24163055,537,108.6709824,537,34.37704849,537,65.30878448,537,65.72200012,537,33.89785004,
536,46.0619278,536,108.7238693,536,34.37522507,536,65.28374481,536,65.71174622,536,33.90829468,
535,45.8820076,535,108.7698669,535,34.38961411,535,65.27836609,535,65.70426941,535,33.91679382,
534,45.69878387,534,108.7973862,534,34.39331818,534,65.27970123,534,65.70108032,534,33.92651367,
533,45.53224945,533,108.8456726,533,34.4092598,533,65.26618195,533,65.67991638,533,33.92267609,
532,45.36064529,532,108.8582993,532,34.41574097,532,65.2691803,532,65.6852417,532,33.93417358,
531,45.19467163,531,108.869278,531,34.42490768,531,65.25056458,531,65.67626953,531,33.94490051,
530,45.03384399,530,108.8815308,530,34.44310379,530,65.24318695,530,65.66578674,530,33.9527359,
529,44.87213135,529,108.8882904,529,34.45098495,529,65.23181915,529,65.65956879,529,33.9621048,
528,44.70493317,528,108.8853455,528,34.45429611,528,65.24092865,528,65.65608978,528,33.97116852,
527,44.55303955,527,108.8882828,527,34.4408493,527,65.20905304,527,65.63188171,527,33.98171234,
526,44.39358521,526,108.8746643,526,34.46121216,526,65.22189331,526,65.63436127,526,33.99084091,
