Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
519,43.33849335,519,108.8076706,519,34.53023911,519,65.13764191,519,65.5562973,519,34.05355835,
518,43.18198776,518,108.7693939,518,34.54526138,518,65.11579895,518,65.54629517,518,34.06412125,
517,43.02921295,517,108.7451706,517,34.54372787,517,65.11358643,517,65.53437805,517,34.06338501,
516,42.86347198,516,108.7027054,516,34.56956863,516,65.09784698,516,65.53129578,516,34.07533264,
515,42.70750046,515,108.6504211,515,34.56232834,515,65.10118866,515,65.52287292,515,34.08615112,
514,42.54353714,514,108.6259689,514,34.59018707,514,65.09432983,514,65.50119781,514,34.07941818,
513,42.38858414,513,108.5602646,513,34.60160065,513,65.08103943,513,65.50632477,513,34.09222412,
512,42.23213196,512,108.5044403,512,34.60456467,512,65.08036804,512,65.49928284,512,34.10237885,
511,42.06970215,511,108.4380951,511,34.61022186,511,65.07366943,511,65.50182343,511,34.11079788,
510,41.91054916,510,108.3821793,510,34.61263657,510,65.05207062,510,65.48860931,510,34.12062073,
509,41.75205612,509,108.3230515,509,34.62400436,509,65.0700531,509,65.46907043,509,34.13345718,
508,41.60116577,508,108.2606201,508,34.63956451,508,65.0508194,508,65.44615936,508,34.1437149,
507,41.44177246,507,108.181778,507,34.62831497,507,65.0229187,507,65.43838501,507,34.15437698,
506,41.28010559,506,108.1092224,506,34.66554642,506,65.0128479,506,65.42118835,506,34.16892242,
505,41.11890793,505,108.020546,505,34.6672821,505,65.02284241,505,65.40649414,505,34.1855278,
504,40.96912003,504,107.9500885,504,34.67096329,504,64.98899841,504,65.38806152,504,34.18624878,
503,40.8108139,503,107.8422089,503,34.69114685,503,64.97472382,503,65.39382935,503,34.19884109,
502,40.6440773,502,107.752861,502,34.69356537,502,64.98487854,502,65.39785004,502,34.21324539,
501,40.495121,501,107.6546631,501,34.68958282,501,64.97367859,501,65.39450836,501,34.21176529,
500,40.33335876,500,107.5534439,500,34.71208954,500,64.96520233,500,65.37502289,500,34.22467422,
499,40.18240738,499,107.4403152,499,34.70516586,499,64.92954254,499,65.36386108,499,34.24148178,
