Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
494,39.40893936,494,106.7659149,494,34.82827377,494,65.03639221,494,65.42103577,494,34.32949448,
493,39.2600441,493,106.6222076,493,34.84918594,493,65.01733398,493,65.40955353,493,34.3450737,
492,39.1120224,492,106.4775009,492,34.852211,492,65.00640106,492,65.39450836,492,34.35799026,
491,38.97636414,491,106.3287964,491,34.83620453,491,64.97976685,491,65.383461,491,34.36669922,
490,38.8386116,490,106.1786194,490,34.87678909,490,64.99065399,490,65.36151886,490,34.37353516,
489,38.70623779,489,106.0003128,489,34.88368225,489,64.97441864,489,65.37213135,489,34.39071655,
488,38.57037735,488,105.8284607,488,34.88486099,488,64.96424866,488,65.36563873,488,34.40077972,
487,38.43461609,487,105.641922,487,34.89300156,487,64.96030426,487,65.35838318,487,34.40706253,
486,38.30668259,486,105.4859161,486,34.90326691,486,64.94458771,486,65.34203339,486,34.42262268,
485,38.18096924,485,105.2837372,485,34.92898178,485,64.90206909,485,65.333992,485,34.4342308,
484,38.05886078,484,105.1046524,484,34.94131851,484,64.91177368,484,65.31105042,484,34.44909668,
483,37.93003464,483,104.9086609,483,34.9382782,483,64.91608429,483,65.30004883,483,34.46022034,
482,37.80958939,482,104.6953659,482,34.95823288,482,64.89196014,482,65.28703308,482,34.47255707,
481,37.68050766,481,104.5122375,481,34.97533035,481,64.87081909,481,65.27490234,481,34.47714996,
480,37.56588364,480,104.3085327,480,34.9709053,480,64.85913086,480,65.25649261,480,34.49274063,
479,37.43254471,479,104.0932999,479,34.9912796,479,64.86266327,479,65.24443054,479,34.50556564,
478,37.31642151,478,103.8725739,478,34.99679184,478,64.84342194,478,65.23926544,478,34.51857758,
477,37.19171143,477,103.6681213,477,35.01774597,477,64.83293152,477,65.21829224,477,34.52815628,
476,37.07593155,476,103.4385071,476,35.01091003,476,64.80699158,476,65.21059418,476,34.54252625,
475,36.94550705,475,103.2102432,475,35.03585052,475,64.78727722,475,65.19580841,475,34.55810547,
474,36.82229996,474,102.9866486,474,35.04080582,474,64.76157379,474,65.19316864,474,34.56362152,
